voter_name,voter_id,voter_url,voter_role,voter_nationality,voter_gender,poll_category,voter_title,film_count,voter_comments
Ally Derks,825,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/825,programmer,Netherlands,Female,critics poll,"Director, IDFA (Amsterdam International Documentary Festival)",10,"Emotions and aesthetics go hand in hand in The 3 Rooms of Melancholia by Pirjo Honkasalo, one of the most outstanding female directors of our time.
The early, observational movie Belovy shows Kossakovsky’s unbelievable talent both as a director and as a cameraman
The guts of the filmmaker and the main character make The Emperor's Naked Army Marches On an unforgettable piece of art.
The interaction between the renowned filmmakers of The Five Obstructions lead to an exceptional documentary.
Gimme Shelter sees the Maysles at their best.
Grizzly Man is an absurd, humanist story by the brilliant Herzog.
 Steve James, the modern master of direct cinema, shows us the other side of the American Dream in Hoop Dreams.
In his authentic style Seidl tells us a story of love, longing and loneliness in Loss Is to Be Expected.
Through the erotic poetry of Carlos Drummond de Andrade, Heddy Honigmann shows that love is for all ages in O Amor Natural."
Eric Derobert,632,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/632,critic,France,Male,critics poll,"Critic, Positif",10,"This pure post-war list may seem strange, especially if I say that I prefer Buñuel to Dreyer and Italian cinema to American cinema. Perhaps it’s simply because this kind of list – at least at the individual level – locates more atypical peaks than long-term patterns. What else? Jacques Tati’s Playtime is probably the greatest political film of the second part of the 20th century, while Our Daily Bread is the one for the early 21st century. Courage, then..."
Catharine Des Forges,737,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/737,programmer,UK,Female,critics poll,"Director, Independent Cinema Office",10,I picked films I love that had a profound effect on me either emotionally or visually and that I would encourage other people to see.
Guy Désiré Yameogo,555,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/555,programmer,Burkina Faso,Male,critics poll,"Director, FESPACO",10,
Agnès Devictor,840,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/840,academic,Iran,Female,critics poll,"Associate professor, Paris 1 Panthéon Sorbonne",10,
Helen Dewitt,547,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/547,programmer,UK,Female,critics poll,"Producer, London Film Festival",10,"I guess I would typify this rather strange list of films in terms of rule breaking, both with regard to their subject matter – challenging the established order, whether outlaws, terrorists or political activists – but also formally, by subverting or pushing the boundaries of narrative and generic conventions. All of them, I think, also have a unique visual style."
Bruno Di Marino,750,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/750,critic,Italy,Male,critics poll,Critic,10,
Andrés Di Tella,865,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/865,Director,Argentina,Male,directors poll,"Hachazos; Montoneros, una historia",10,
Manthia Diawara,371,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/371,critic,US,Male,critics poll,Critic; African cinema specialist,10,
Mar Diestro-Dópido,366,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/366,critic,UK/Spain,Female,critics poll,"Critic, Sight & Sound",10,"What attracts me most about cinema is its capacity to reveal the surreal and the fantastic within a recognisable reality – to create an extrasensory depth that’s more in tune (or ‘real’, if you like) with the way we experience our lives. It is this trait that for me elevates cinema to the category of an art. The link between my ten films is a conscious foregrounding of the mind’s processes – explored by the medium ever since its origins, and most famously by the Surrealists – which irremediably takes us back to the central tenet of Calderón de la Barca’s 1635 play Life Is a Dream. That titular precept undoubtedly permeates all of my choices."
Ernesto Diezmartínez,628,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/628,critic,Mexico,Male,critics poll,"Critic, Reforma",10,"This list is composed of ten canonical movies that I’ve watched dozens of times, each time with the same amazement that Mia Farrow shows in the final shot of The Purple Rose of Cairo. (I feel guilty for not listing Singin’ in the Rain and the Mexican movies El Compadre Mendoza, Doña Perfecta, Los Hermanos del Hierro and Cadena Perpetua.)"
Brian Dillon,754,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/754,academic,UK,Male,critics poll,"Research tutor, Royal College of Art",10,"I can’t claim that this list is more (or less) than a wholly subjective snapshot of films that have obsessed, haunted me or helped me out with some writing crisis over the years. One or two that are simply joyous pleasures to be revisited regularly. But looking at the finished list, it is surprising how many films are somehow to do with stasis: the still photos of La Jetée, the frozen moments of Marienbad and A Matter of Life and Death. Even the ones that are all about unabated movement (Two-Lane Blacktop, The Way Things Go) seem to burn out in repetition, going nowhere. But those are thesis-ready thoughts, and this list is really about love."
Jan Distelmeyer,512,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/512,academic,Germany,Male,critics poll,"Lecturer, University of Applied Sciences Potsdam",10,"This list evolved from many, many drafts that included other titles like Lizzie Borden’s Born in Flames. In fact, I forced myself to stop making alterations, so this is my list of 27 April 2012. These films changed the/my world and the artform in a way that could only be done cinematically; they explore the condition of film and its relation to what we call ‘reality’. Leaving so many other important films out, I can only quote Nico’s lines from These Days, words that are so relevant in The Royal Tenenbaums: “Please don’t confront me with my failures, I had not forgotten them.”"
Andrea Dittgen,817,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/817,critic,Germany,Female,critics poll,"Critic, Die Rheinpfalz",10,
Philip Dodd,191,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/191,critic,UK,Male,critics poll,"Editor, Sight & Sound, 1990-1997; chairman, Made in China.",10,"A silent comic masterpiece in the era of the talkies (City Lights); a politically unacceptable film with unbearable power (Nosferatu); a wounded film (Touch of Evil); a film where one sequence (a woman pulling her hair from a bowl) is worth the price of admission – and more films from Asia than before, as least for me. If history tells us anything it is that as Asia’s economic power rises so too will the world’s estimation of its cultures. I – we – need to see more of Asia’s cinema history."
Thomas Doherty,60,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/60,academic,US,Male,critics poll,"Professor, American Studies, Brandeis University",10,
Anton Dolin,791,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/791,critic,Russia,Male,critics poll,Critic,10,
Christine Dollhofer,718,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/718,programmer,Austria,Female,critics poll,"Director, Crossing Europe festival, Linz",10,"I have tried to choose very quickly and spontaneously ten films that have had an important impact on my view of cinema. And, of course, thousands of films are missing."
Jože Dolmark,455,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/455,critic,Slovenia,Male,critics poll,"Film critic, Ekran",10,"This list features ten titles with a kind of innocence that is fully self-conscious – it’s not a cute consideration of film history or film language, and is the innocence of someone who chooses how to look and how to stay alive within this complicated world of modern images."
Andrew Dominik,867,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/867,Director,Australia,Male,directors poll,Chopper; The Assassination of Jesse James by the Coward Robert Ford,10,
Kim Dong Ho,422,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/422,programmer,Korea,Male,critics poll,"Honorary festival director, Busan International Film Festival",10,"Of the Far Eastern films, Im Kwon-taek’s Mandala is the most profound filmic study on religion and salvation; the Hou is an epic on the history of ordeal told via a tragedy of a family; the Kurosawa, a masterpiece that escapes the limitations of a genre film; and Jia Zhangke’s 2009 Platform, a cinematic achievement that looks into a society in a period of upheaval."
Dennis Doros,665,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/665,distributor,US,Male,critics poll,"Founder, Milestone Films",10,"I could easily include many more Milestone releases (The Exiles, Rocco and his Brothers, Portrait of Jason, The Sorrow and the Pity, The Adventures of Prince Achmed, I Am Cuba, Maborosi) on my list, since we love our films and wouldn’t be distributing them otherwise. For objectivity’s sake, I created a list of those films that meant most to my development as a cinephile. All these films put a smile on my face when I think of them."
Atilla Dorsay,781,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/781,critic,Turkey,Male,critics poll,"Critic, Sabah",10,"My choice mainly concerns the idea of formulating the cinematic language, with films that all somehow developed and enriched the art of cinema and its possibilities. The exception is Casablanca, which hardly brought anything new. But then, for many of us, it was “the beginning of a beautiful friendship” – the one we had and still have with movies. "
Lindiwe Dovey,393,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/393,academic,UK,Female,critics poll,"Senior Lecturer, African film, SOAS, University of London; curator, Film Africa festival",10,
Charles Drazin,730,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/730,academic,UK,Male,critics poll,"Senior lecturer, QMUL",10,"This is a list of the ten films that most readily come to mind as having had significance to me for varying reasons. Some have been chosen because they are examples of great cinema, others because they offer important insights into what it is to be human, and one simply because it is great entertainment. Setting down the titles serves only to bring home the impossibility of the exercise, irresistible though it may be to take part. What kind of a list can it be that excludes John Ford, Yasujro Ozu, Akira Kurosawa, Satyajit Ray, Max Ophüls, Orson Welles, Luis Buñuel and so forth? It is limited not only by what one has seen, but also by what one remembers. 
So this is a list not of the ‘Ten Greatest Films of All Time’, but of the ten that have become the most treasured and revisited over many years."
Andreas Dresen,863,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/863,Director,Germany,Male,directors poll,Grill Point; Wolke 9,10,
Sara Driver,1161,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1161,Director,US,Female,directors poll,Sleepwalk; When Pigs Fly,10,My choice of the ten greatest films seems to swirl through and change every day depending on mood and experiences. This is the list today (9-6-12). Tomorrow it will be different.
Stefan Droessler,90,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/90,programmer,Germany,Male,critics poll,"Director, Munich Film Museum",10,"Well, I don’t have an explanation. The moment I think how to justify this selection I will change it and nominate ten different titles. I have a big problem picking out ten titles from some hundreds of incomparable films that deserve to be called ‘greatest’."
Michael Dudok de Wit,1067,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1067,Director,Netherlands/UK,Male,directors poll,Father and Daughter; Le moine et le poison,10,
Mark Duguid,346,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/346,archivist,UK,Male,critics poll,"Senior curator, BFI",10,"I had to lose After Life and many other treasures (No Buñuel! No Lang! No Kiss Me Deadly!), but I couldn’t lose any of these. I guess the uniting theme, if there is one, is film as enigma or madness (or both), with a spoonful of dark poetry a bonus. Ask me next week and I’d pick a different ten."
Sam Dunn,125,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/125,distributor,UK,Male,critics poll,"Head of DVD, BFI",10,"An impossible task, really, but I’ve chosen films that I consider to be endlessly watchable, visually striking and deeply affecting. Each is different from the next, of course, but these ten are all films that, in my opinion, perfectly marry their respective thematic concerns with their aesthetic approaches."
Jay Duplass,986,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/986,Director,US,Male,directors poll,Who Lives at Home; Cyrus,10,"I don't think any of my selections will make it into the final top 10, and that's okay. No disrespect intended, but I find it impossible to judge the ‘greatest’ films of all time and am not a huge fan of top 10 lists.  But I am honoured that someone wants to know what films I love. These films came to mind because they have inspired me countless times, made me feel like life is worth living and laughing about, or are documentaries that have effected real change in subjects' lives (and thus my own). "
Sean Durkin,1164,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1164,Director,US,Male,directors poll,Martha Marcy May Marlene; Mary Last Seen,10,"As hard as it is to just pick ten, these are the films that have had the greatest long-term effect on me as a filmmaker. Each one at a very specific time in my life has inspired me, shaped my creativity and pushed my idea of what a film can achieve. "
Amanda Duthie,822,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/822,programmer,Australia,Female,critics poll,"Director, Adelaide Film Festival",10,I love the drive-in. These would make for a perfect Saturday night double bill any which way you paired them. 
Marco Dutra,1053,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1053,Director,Brazil,Male,directors poll,Trabalhar Cansa,10,
Amit Dutta,860,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/860,Director,India,Male,directors poll,Nainsukh; Sonchidi,10,"This list could have been so different ten years earlier, and it might change few years later, but I deeply appreciate the values these films carry within. Films like these show what an important role cinema can play in our lives, thus reinstating one's faith in it."
Sergey Dvortsevoy,1165,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1165,Director,Kazakhstan,Male,directors poll,Tulpan; In the Dark,10,Intolerance created the basics of film editing.
Rachel Dwyer,180,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/180,academic,UK,Female,critics poll,"Professor, Indian cultures and cinema, SOAS",10,"I struggled to select films for the BFI’s 100 Bollywood films (2005), but picking ten ‘greatest’ films has other challenges, so I decided to be entirely subjective. The first three are safe classics: Kane, Samurai and The Godfather, while the next three are classics in India, some also beyond, made by three of India’s greatest directors: Satyajit Ray’s Apu Sansar; Guru Dutt’s Pyaasa; Mani Ratnam’s Iruvar. Sant Tukaram is a startling presentation of a medieval saint. The next two are personal favourites from the thousands of Hindi films: Amar Akbar Anthony, which shows why Hindi cinema should never try to be Hollywood; and Lovers Will Walk Off With the Bride as the film that initiated ‘Bollywood’ as a new type of Hindi cinema (and allowed me to mention Yash Chopra as producer, as I couldn’t pick a favourite among the films he directed). The Jungle Book was a formative childhood experience. "
Geoff Dyer,582,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/582,critic,UK,Male,critics poll,Critic,10,"I can’t detect any logic or defining idea of what I want from a film in this list. They’re just the films that insisted on popping into my head. The neon of their titles flashed brightest among the hundreds of others vying for my attention. The two Tarkovsky films, Mirror and Stalker, have a primal power and profundity that is unmatched by any of the others. If I had to choose just one it would be Christian Marclay’s The Clock."
Richard Dyer,164,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/164,academic,UK,Male,critics poll,"Professor, Film Studies, King's College London",10,
Edwin,936,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/936,Director,Indonesia,Male,directors poll,Postcards From the Zoo; Blind Pig Who Wants to Fly,10,"If I could add one more it would be Werckmeister Harmonies (Béla Tarr, Ágnes Hranitzky, 2000)."
Roger Ebert,142,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/142,critic,US,Male,critics poll,"Critic, Chicago Sun-Times",10,"I am faced once again with the task of voting in Sight & Sound’s famous poll to determine the greatest films of all time. Apart from my annual year’s best lists, this is the only list I vote in – and have done since 1972.
It’s a challenge. To add a title to the list I came up with in 2002, I must remove one. At one point in pondering this list, here’s what I thought I would do: I would simply start all over with ten new films. But it was too much like a stunt. Lists are ridiculous, but if you’re going to vote, you have to play the game. Besides, the thought of starting with a blank page and a list of all the films ever made fills me with despair. 
So I decided there must be one new film. The two candidates, for me, were Charlie Kaufman’s Synecdoche, New York and Terrence Malick’s The Tree of Life. Like the Herzog, the Kubrick and the Coppola, they are films of almost foolhardy ambition. Like many of the films on my list, they were directed by the artist who wrote then. Like several of them, they attempt no less than to tell the story of an entire life. In Synecdoche, Kaufman does this with one of the most audacious sets ever constructed: an ever-expanding series of boxes or compartments with which the protagonist attempts to deal with the categories of his life. The film has the insight that we all deal with life in separate segments, defined by choice or compulsion, desire or fear, past or present. It is no less than a film about life. 
In The Tree of Life, Malick boldly begins with the Big Bang and ends in an unspecified state of attenuated consciousness after death. The central section is the story of birth and raising a family. I could have chosen either film – I chose The Tree of Life because it’s more affirmative and hopeful. I realise that isn’t a defensible reasons for choosing one film over the other, but it is my reason, and making this list is essentially impossible, anyway.
Apart from any other motive for putting a movie title on a list like this, there is always the motive of propaganda: critics add a title hoping to draw attention to it, and encourage others to see it. For 2012, I suppose this is my propaganda title. I believe it’s an important film, and will only increase in stature over the years.
"
Nicolás Echevarría,1091,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1091,Director,Mexico,Male,directors poll,Cabeza de Vaca,10,
Gareth Edwards,950,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/950,Director,UK,Male,directors poll,Monsters,10,
Atom Egoyan,889,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/889,Director,Canada,Male,directors poll,Exotica; The Sweet Hereafter,10,
Dimitri Eipides,658,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/658,programmer,Greece,Male,critics poll,"Director, Thessaloniki International Film Festival",10,
Bernard Eisenschitz,765,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/765,critic,France,Male,critics poll,Critic,10,"‘Greatest films’ is fine, but ‘of all time’ sounds like a somewhat pretentious definition, regarding an art that’s been in existence for less than 150 years. Even so, nobody can claim to be totally knowledgeable – I certainly can’t. My emotional responses to, and rational appraisals of, films are limited in time and space – even though I’ve tried to cover as many of them as I could here, mostly imaginary, from Griffith’s Confederate States of America to Renoir’s India. This, then, is what this list can be at best: a reminder of a history that runs a serious risk of being entirely forgotten soon."
Noam M Elcott,244,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/244,academic,US,Male,critics poll,"Professor, Columbia University",10,
Thomas P Elsaesser,58,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/58,academic,Netherlands,Male,critics poll,Academic,10,
Amir Emary,820,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/820,critic,Egypt,Male,critics poll,"Editor, Eyeoncinema.net",10,
Jim Emerson,486,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/486,critic,US,Male,critics poll,"Critic, RogerEbert.com, Scanners, Chicago Sun-Times",10,"These are movies that made me who I am and shaped my love of cinema. I would also defend each and every one of them as an awe-inspiring work of art. I looked at my 2002 list and some of the titles are different, but the overall contours are much the same: Our Hospitality instead of Sherlock Jr. for Buster Keaton, film’s greatest (and funniest) visual philosopher; the inevitable Citizen Kane, because no great movie has ever been more dynamic, ingenious and sheer fun – we shouldn’t take it for granted (last time I also had The Magnificent Ambersons on my list, a film I love as much as Kane, but I wanted to make room for other auteurs); Kubrick’s Barry Lyndon instead of 2001: A Space Odyssey because it is equally visionary and gorgeous, and perhaps slightly more poignant. Then there’s Only Angels Have Wings, which shows Hawks’ mastery of all genres in one picture: Western, adventure, romance, comedy, even musical. Trouble in Paradise is shimmering perfection – romantic comedy as rhythm and dance, dialogue as music and lyrics. Mizoguchi’s Sansho Dayu is here because, as I’ve often said, if there is a god, they are probably manifested in this movie; and Late Spring is possibly my favorite Ozu, a family tragicomedy (is there another kind?) about the sacrifices a father and daughter make for each other.
There’s a theme about men’s distrust of women that runs through Hitchcock’s Vertigo and Chinatown, and a noirish, Watergate-era cynicism that links the political/familial corruption of Chinatown with politics-as-entertainment in Nashville. 
I’m not even going to begin discussing the painful omissions. Others will have to champion films such as Sunrise (F.W. Murnau, 1927), Kings of the Road (Wim Wenders, 1976), The Night of the Hunter (Charles Laughton, 1955), Playtime (Jacques Tati, 1967), The Scarlet Empress (Josef von Sternberg, 1934), Holiday (George Cukor, 1938), Miller’s Crossing & No Country for Old Men (Joel & Ethan Coen, 1990 & 2007), Letter From an Unknown Woman & The Earrings of Madame de… (Max Ophüls, 1948 & 1953), Deep End (Jerzy Skolimowski, 1970) and Fast, Cheap & Out of Control (Errol Morris, 1997).
"
Heinz Emigholz,968,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/968,Director,Germany,Male,directors poll,Schindler's Houses; Goff in the Desert,10,
Pam Engel,231,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/231,distributor,UK,Female,critics poll,"Co-founder, New Wave Films",10,"An impossible task, and inevitably I have to choose from films that have had time to mature. My worst omission is Godard – I could not pick out one that was so much better than all his others."
Amat Escalante,859,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/859,Director,Mexico,Male,directors poll,Sangre; Los Basterdos,10,"Besides being a list of my top 10, these films are the ones that influenced me the most at an early age and shaped the kind of filmmaker I want to be."
Gareth Evans,591,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/591,critic,UK,Male,critics poll,"Editor, www.gotogetherpress.com; fim curator, Whitechapel Art Gallery",10,"“Don’t undertake a project unless it is manifestly important and nearly impossible,” declared Edwin Land, co-founder of the Polaroid Corporation. Wise words, and keep well in mind attempting this poll response, with one proviso: let’s remove the “nearly”. The genuine torment of such assembly is made both easier and harder by a profound gap in my watching of the moving image from entire territories, a lack thrown into sharper relief when contemplating Mark Cousins’ monumental overview The Story of Film (maybe one could choose that and wrangle thousands of titles into one).
So, naming the infinite losses first; Angelopoulos, Antonioni, Brakhage, Buñuel, Egoyan, Marker, Pasolini, Paradjanov, Peleshian; Beau Travail; The Gleaners and I; Horse Thief; Old Joy; Penda’s Fen, Spirit of the Beehive; 32 Short Films about Glenn Gould; Yi Yi; comedies (especially silent, the Marx Brothers and Local Hero); the final scenes of Two Years at Sea and Werckmeister Harmonies…
However, one of many things learnt from MC Film is advocacy. All polls, of course, are endorsements, but in these volume-saturated times, maybe there’s a little more needed. Looking at my own selection, I’m struck by several things straight off – its complete failure in chronology, gender and ethnicity terms, along with an unexpected grouping within the 1970s. I can’t defend the former, but I can perhaps tease out the latter. In a way, all the works chosen explore, embody, speak for and salvage the human(e) in the face of threats and challenge on various scales. That this seam ran, delirious and wide-eyed, through that decade seems no coicidence; Utopia doesn’t disappear once it’s lost the streets. It regroups.
And there’s a sense of revelation to the titles chosen – the shock of vision in the fullest sense. It’s an auteur-driven constellation and, to a degree, these titles stand for the larger oeuvre (not the case of Tale of Tales, which is simply the greatest animation ever made – don’t take my word for it). That said, just as King Lear is the Shakespeare that speaks most urgently to our times, so it feels respectively with Stalker, 2001, The Thin Red Line.
There’s also a conscious wish to put at the centre methods of being through working (both behind and in front of the lens), hence the Watkins, the Fassbinder, the Tanner. I guess it’s about finding films that speak both to the period we live in, while pointing towards futures worth inhabiting, through how they have created realities of imagination, action and a gaze towards light, regardless of subject. That Guzman’s Nostalgia for the Light could (albeit with significant difficulty) be made now, is cause for great rejoicing.
Finally, Three Colours: Red and Wings of Desire, films so loved they have entered the psyche and are almost indivisible from it: again, film as empathy.
The fact of these all (and so many more) in the world is both a great solace and spur. Onwards!
"
John Ewing,480,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/480,programmer,US,Male,critics poll,"Director, Cleveland Cinematheque",10,"This list is a pretty ‘old school’ – which is understandable. I am old school. But if great films are ones you can watch over and over again without tiring of them, then the older the movie, the more chances one has to rewatch it and reaffirm its greatness. Newer films have just not marinated long enough. But I also wonder whether our cerebral, ‘sophisticated’ notions of what makes a movie great really trump our sentimental attachment to beloved films we caught at key moments in our lives, that moulded us into the moviegoers we are? Should they?"
Richard Eyre,1143,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1143,Director,UK,Male,directors poll,Notes on a Scandal; Iris,10,"These are not necessarily my ""favourite"" 10 films, but the films which have had most influence on my idea of cinema."
Joseph Fahim,460,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/460,critic,Egypt,Male,critics poll,Critic,10,"There’s a major difference between a ‘best of’ list and a ‘favorite’ one. ‘Best of’ lists such as are governed, to a great extent, by objective criteria set by the each critic/filmmaker. ‘Favorite’ is primarily based on personal preferences, choices that do not necessarily call for impartial validations.
I vowed to steer away from personal preferences when I began to compile this list, choosing titles that unequivocally deserve their place in the pantheon of the greats. At the end though, I had to cave in to my subjective predilections, setting one sole benchmark for my choices: each and every entry in my list has altered the way I see and understand not only cinema but life. 
Citizen Kane is the most perfect movie ever made – a status it deserves to uphold for many generations to come.
Bergman is cinema’s greatest filmmaker and Cries and Whispers is his ultimate statement on death, love and the human condition.
Radical in every facet, Tati’s anarchic magnum opus Play Time breaks every narrative rule, and is built on a stunning mise en scène that remains unmatched nearly half a century later. Most imperative of all, Play Time is a wondrous film that compels you to observe the world in a way you never have before.
Postmodernism found a voice in Antonioni’s revolutionary cinematic language and changed the face of arthouse cinema. The post-God world the visionary chronicler of the alienated and the disaffected valiantly confronts in L’avventura speaks of truths filmmakers have tended to ignore ever since. 
Vidor has never been given the acclaim he deserved, and The Crowd is a testament to the originality and singular vision of his work. It’s an incisive probing of the individual’s place in a mercilessly demanding society and remains as timeless as ever.
Dreyer was the first filmmaker to ask the big questions about life, God and the mysteries of the human soul, and in Ordet he delivered his most impassioned address on the elusive concept of faith.
The transience of time, the inevitability of separation and the pain of loss inform Ozu’s most compassionate, most disarmingly tender picture Late Spring.
As things grew murkier and more ambivalent following the Egyptian revolution, the one film I kept revisiting was Alea’s courageous Memories of Underdevelopment, which astutely reflects the sense of displacement in a stagnant nation lost in a purgatory of transition. 
Yang is modern cinema’s foremost humanist; his last work Yi Yi is a celebration of the joys, sorrows, triumphs and failures of characters no different than us. Amid the fear, isolation and uncertainty that defined the new century, Yang’s deeply heartfelt epic was the one of the rare places of comfort. 
The greatest of all Arab films, Chahine’s groundbreaking Cairo Station freed Egyptian cinema from the throes of melodrama, capturing the soul of a self-destructive nation drowning in a bottomless ocean of social and political malaise.
"
Patrick Fahy,224,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/224,critic,UK,Male,critics poll,"Sight & Sound credits supervisor, BFI documentation team leader",10,"Anatomy of a Murder plays an ingenious trick, using the audience’s natural affinity with the film star to blind us into being rotten jurors, with real-life implications that are most unsettling. Can you make a point more cinematically than that?
Two from Minnelli (and Cyd Charisse): The Band Wagon is the sophisticated epitome of the movie musical, packed with verve, wit, fun and dazzling dancing. Brigadoon, often berated for looking like a shortbread box, is as penetrating a dramatisation of the bumpy road to love as I’ve seen. Van Johnson’s cynicism perfectly balances Gene Kelly’s swooning, the soundstage landscapes only add to the fairytale quality, and the ending defies prediction. 
Two from Robert Bolt. A Man for All Seasons has the beauty and power of an oak. It rebukes moral expediency with brilliantly crafted dialogue and acting. Its message – to be wary of fashions – makes it inescapably unfashionable, and thereby a film for all seasons. Ryan’s Daughter combines modern bite and unmatchable old-school splendour, and has my favourite end sequence of any film, a stirring mix of agony and hope. (Of the seven feature films Bolt wrote, five won the Oscar for Best Cinematography. Has anyone better grasped the art of screenwriting?)
The Exorcist and The Halfway House both (in different ways) unnerve and reassure us about being spiritual animals. Shadowlands is a humane and moving tale of faith, love and loss. The Old Dark House is a supremely atmospheric hoot, and Raiders of the Lost Ark is, to my mind, cinema’s finest blast of escapism.
Directors horribly absent: Alfred Hitchcock, Preston Sturges, Roman Polanski.
"
Dan Fainaru,701,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/701,critic,Israel,Male,critics poll,Film critic,10,
Edna Fainaru,646,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/646,critic,Israel,Female,critics poll,Film critic,9,
Asghar Farhadi,1204,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1204,Director,Iran,Male,directors poll,A Seperation; About Elly,10,
Gian Luca Farinelli,575,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/575,programmer,Italy,Male,critics poll,"Director, Cineteca di Bologna",10,
Peter Farrelly,1120,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1120,Director,US,Male,directors poll,There's Something About Mary; Dumb & Dumber,10,The Wizard of Oz was a huge event for me as a child – and for my entire town. It played once a year on TV; every kid in school was talking about it and we couldn’t wait to see it. I still get so much joy from it. It’s easy to skip it as it’s such an acknowledged classic but I’m not going to.
Andris Feldmanis,805,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/805,critic,Estonia,Male,critics poll,Critic,10,"In no particular order and with no good excuse. I chose the films based on personal and spontaneous preference. On another day it would be another list, though I usually avoid making lists."
